id,specialization,name
R101,SP101,Frontend Developer
R102,SP101,Backend Developer
R103,SP101,Full Stack Developer
R201,SP102,iOS Developer
R202,SP102,Android Developer
R203,SP102,React Native Developer
R204,SP102,Flutter Developer
R301,SP103,UI Designer
R302,SP103,UX Designer
R303,SP103,Product Designer
R304,SP103,Visual Designer
R305,SP103,Interaction Designer
R401,SP104,Graphic Designer
R402,SP104,Motion Designer
R403,SP104,Brand Designer
R404,SP104,Web Designer
R501,SP105,System Analyst
R502,SP105,System Architect
R503,SP105,Software Engineer
R504,SP105,Database Administrator
R505,SP105,DevOps Engineer
R506,SP105,QA / Test Automation Engineer
